image_name,building_uid,ymin,xmin,ymax,xmax,footprint_sq_px,prob_no_damage,prob_minor,prob_major,prob_destroyed
mexico-earthquake_00000103_post_disaster.jpg,260769df-de19-41b8-aa98-efdda8628321,999,821,1022,942,2783,0.1564,0.4196,0.1677,0.2563
mexico-earthquake_00000103_post_disaster.jpg,d12edb9e-0da9-4e2e-b085-0eea389ef7f5,983,820,1012,937,3393,0.2465,0.0592,0.2851,0.4092
mexico-earthquake_00000103_post_disaster.jpg,30237d30-8c93-41c0-9c93-1a4b7ab733bd,962,818,996,939,4114,0.4995,0.3489,0.0971,0.0545
mexico-earthquake_00000103_post_disaster.jpg,1ee721f0-63e5-4b13-899d-fdd2a2da561b,767,994,795,1022,784,0.9691,0.0061,0.0217,0.0032
mexico-earthquake_00000103_post_disaster.jpg,d8dceb38-86fe-4eab-bb9a-2de90672e738,73,789,136,982,12159,0.9737,0.0098,0.0154,0.001
mexico-earthquake_00000103_post_disaster.jpg,a525164d-ac9b-43ca-87a3-41f6a52f3a6d,0,778,68,903,8500,0.9711,0.0152,0.0119,0.0018
mexico-earthquake_00000103_post_disaster.jpg,eb4dddd8-81af-4c2d-b5a9-990f03d87410,567,792,606,906,4446,0.8905,0.0857,0.0126,0.0111
mexico-earthquake_00000103_post_disaster.jpg,226463d8-ad87-4fc9-a1a0-2dc5cd5aac07,260,55,388,140,10880,0.869,0.0411,0.0889,0.0009
mexico-earthquake_00000103_post_disaster.jpg,485e3f8d-ad55-4abb-bff5-606ebaa498f7,660,701,710,823,6100,0.7745,0.0297,0.1862,0.0096
mexico-earthquake_00000103_post_disaster.jpg,93288a49-b3df-4c49-ab27-d49d20838e74,583,684,671,779,8360,0.5865,0.3661,0.0451,0.0023
mexico-earthquake_00000103_post_disaster.jpg,ee3f3602-4153-4101-a705-741f9804b8fd,248,840,354,914,7844,0.8485,0.0624,0.088,0.0011
mexico-earthquake_00000103_post_disaster.jpg,7447c2fc-f3c5-4e3f-8e70-6c609b5524c5,377,909,417,939,1200,0.8409,0.0499,0.0933,0.0159
mexico-earthquake_00000103_post_disaster.jpg,1fb7dc18-3ffb-4b59-abbd-4611204efffb,0,635,38,764,4902,0.9667,0.0132,0.0188,0.0013
mexico-earthquake_00000103_post_disaster.jpg,83b6b737-2633-4497-bae7-2c4826c12296,0,1012,2,1022,20,0.553,0.019,0.0357,0.3923
mexico-earthquake_00000103_post_disaster.jpg,eff90b6c-42f0-40dc-8b1a-8382aa49bec3,939,684,951,698,168,0.2841,0.0363,0.0385,0.6411
mexico-earthquake_00000103_post_disaster.jpg,18aff626-a9ba-4202-b567-cec18964b9c2,960,700,972,710,120,0.3935,0.0393,0.0577,0.5095
mexico-earthquake_00000103_post_disaster.jpg,beb11ede-390c-4089-93d1-094108c2921f,948,693,961,706,169,0.4927,0.1504,0.0758,0.281
mexico-earthquake_00000103_post_disaster.jpg,572cbf8e-a033-4b74-85ec-55c2ba07176a,974,701,982,714,104,0.0524,0.0032,0.0105,0.9338
mexico-earthquake_00000103_post_disaster.jpg,3f42b282-b36c-4188-9f61-94ad080db17f,0,989,83,1020,2573,0.5566,0.2269,0.2097,0.0067
mexico-earthquake_00000103_post_disaster.jpg,e9213c20-961e-46b3-a152-b4697638426c,15,287,34,318,589,0.9736,0.0044,0.021,0.001
mexico-earthquake_00000103_post_disaster.jpg,c7b4fdb2-add3-4de0-abdc-ccff27ab0cb8,149,331,158,339,72,0.3669,0.0505,0.0496,0.533
mexico-earthquake_00000103_post_disaster.jpg,6c10850c-0752-4dfe-9c29-1550efe7a7ea,408,59,477,265,14214,0.9169,0.0642,0.0175,0.0014
mexico-earthquake_00000103_post_disaster.jpg,e8695307-14dc-4eae-8124-84753f78525b,644,930,717,1022,6716,0.9671,0.0236,0.0091,0.0002
mexico-earthquake_00000103_post_disaster.jpg,c8a59c80-f579-480d-b250-a72c75b16e02,814,732,832,751,342,0.8303,0.0572,0.0701,0.0424
mexico-earthquake_00000103_post_disaster.jpg,5840ef9f-2331-4167-bcfb-861988377198,305,945,447,1022,10934,0.9234,0.0314,0.0448,0.0004
mexico-earthquake_00000103_post_disaster.jpg,59764c56-62f6-4480-a11e-f8506175c9f5,221,926,238,966,680,0.7593,0.1362,0.0612,0.0433
mexico-earthquake_00000103_post_disaster.jpg,2ef6e975-ff6c-4412-bd16-ef0b2a816342,990,1012,1022,1022,320,0.8863,0.0398,0.0682,0.0057
mexico-earthquake_00000103_post_disaster.jpg,ae2709fd-fd32-40b7-b613-1b01c1c60338,799,83,819,124,820,0.9011,0.0405,0.0555,0.0029
mexico-earthquake_00000103_post_disaster.jpg,3dea06de-fcde-4b13-8e80-4d47c6099bc2,894,0,997,15,1545,0.4456,0.0671,0.479,0.0083
mexico-earthquake_00000103_post_disaster.jpg,9ea18338-e604-47fd-b709-39898fc9071d,896,139,962,156,1122,0.7458,0.0516,0.1889,0.0137
mexico-earthquake_00000103_post_disaster.jpg,4de06ed1-945c-4cb1-9b0f-3feef8d82cc7,949,820,967,845,450,0.8985,0.0275,0.0487,0.0253
mexico-earthquake_00000103_post_disaster.jpg,f3729392-1b6f-4604-9ac4-ab63a63bf7dc,25,0,57,17,544,0.9271,0.0225,0.0416,0.0088
mexico-earthquake_00000103_post_disaster.jpg,dad7120d-ec86-4716-8772-fe19e0eb222d,0,22,55,173,8305,0.9861,0.0066,0.0069,0.0004
mexico-earthquake_00000103_post_disaster.jpg,c41336a4-12c7-415c-8935-748f1e44fb45,99,0,132,19,627,0.9492,0.0225,0.0264,0.0019
mexico-earthquake_00000103_post_disaster.jpg,75d1bcb3-c2b9-4adc-9700-7bef751fa84c,106,32,153,98,3102,0.9426,0.0478,0.0091,0.0005
mexico-earthquake_00000103_post_disaster.jpg,739d5fa6-b6d5-4d5b-814e-3660f577b225,83,110,134,182,3672,0.971,0.0175,0.0109,0.0006
mexico-earthquake_00000103_post_disaster.jpg,7baed6ed-4f06-4abd-b107-3536ec9f7969,9,176,130,338,19602,0.9619,0.0255,0.0122,0.0003
mexico-earthquake_00000103_post_disaster.jpg,0457aed9-272b-42b8-895b-ccb27d2cab12,0,207,9,282,675,0.7043,0.022,0.1765,0.0972
mexico-earthquake_00000103_post_disaster.jpg,239983e4-ef28-4c7c-a218-ddb83349c668,0,400,170,472,12240,0.928,0.0496,0.02,0.0024
mexico-earthquake_00000103_post_disaster.jpg,0b83976d-06ae-439c-a0f2-1621a13192a3,0,583,73,633,3650,0.9901,0.0021,0.0078,0.0
mexico-earthquake_00000103_post_disaster.jpg,2c08c997-a471-4ac5-9472-4cc082804bd8,268,567,308,623,2240,0.9614,0.0213,0.0171,0.0003
mexico-earthquake_00000103_post_disaster.jpg,b4916722-9d39-41cb-8322-86a1cf884ec9,284,424,506,530,23532,0.9738,0.0122,0.0115,0.0025
mexico-earthquake_00000103_post_disaster.jpg,8613891f-26c6-449b-909d-aaae1af20a58,419,511,456,531,740,0.948,0.0152,0.0343,0.0026
mexico-earthquake_00000103_post_disaster.jpg,c52f4a12-627c-472d-91ab-cbd5edb734fd,462,518,493,535,527,0.8211,0.1115,0.0494,0.018
mexico-earthquake_00000103_post_disaster.jpg,1f98378f-04a7-4b85-b3c3-548de8cb3e4b,812,778,932,841,7560,0.971,0.0177,0.0112,0.0001
mexico-earthquake_00000103_post_disaster.jpg,06b3e6bf-a897-4a88-8383-884b3ab7c097,766,805,858,943,12696,0.9427,0.0283,0.0279,0.001
mexico-earthquake_00000103_post_disaster.jpg,3877213a-0079-4900-9bb1-5fc19606963c,777,897,800,912,345,0.5704,0.1693,0.1677,0.0927
mexico-earthquake_00000103_post_disaster.jpg,906334f1-a1c8-44c6-a1de-7fe47602f574,716,937,924,1017,16640,0.94,0.0434,0.0163,0.0002
mexico-earthquake_00000103_post_disaster.jpg,272be137-4c06-44e5-a0f4-cc2dadd97e7e,534,940,660,1022,10332,0.9066,0.0481,0.0374,0.0079
mexico-earthquake_00000103_post_disaster.jpg,588109a6-1c6d-442b-9624-49c0d44727e4,612,862,656,905,1892,0.6663,0.1133,0.2155,0.0049
mexico-earthquake_00000103_post_disaster.jpg,db68b36e-00b5-4684-abae-e9373cb299bc,803,656,822,711,1045,0.648,0.2105,0.1367,0.0048
mexico-earthquake_00000103_post_disaster.jpg,b85bab6f-a0f1-4b7f-89ba-823d9d636a0a,724,699,753,730,899,0.9448,0.0306,0.0235,0.0011
mexico-earthquake_00000103_post_disaster.jpg,28fada5b-80e7-4d30-b748-79ed4627f51b,399,805,543,888,11952,0.8965,0.0538,0.0492,0.0005
mexico-earthquake_00000103_post_disaster.jpg,fd1b8ec2-09d3-4374-9588-1b1286d82fca,82,610,99,636,442,0.6391,0.178,0.0796,0.1033
mexico-earthquake_00000103_post_disaster.jpg,209cc918-4f26-4c75-bf17-b56acfecdac3,84,566,92,578,96,0.5194,0.1206,0.051,0.309
mexico-earthquake_00000103_post_disaster.jpg,39843250-5a91-482c-a878-7f18dfa3fece,978,759,1022,800,1804,0.9361,0.0156,0.0407,0.0076
mexico-earthquake_00000103_post_disaster.jpg,91dc423f-9a61-433b-a279-0fab641b2b54,985,686,1022,729,1591,0.9491,0.0092,0.0397,0.002
mexico-earthquake_00000103_post_disaster.jpg,85758914-5660-4e8e-99cf-79e3529bec6c,577,97,618,113,656,0.5695,0.2733,0.1331,0.0241
mexico-earthquake_00000103_post_disaster.jpg,1e1380e4-ca54-425b-a06f-20fcf256af00,535,91,551,105,224,0.5773,0.1932,0.0564,0.1731
mexico-earthquake_00000103_post_disaster.jpg,e8ea8282-19b2-4548-b03c-08ad0a0dae99,380,35,388,50,120,0.7095,0.0329,0.0088,0.2488
mexico-earthquake_00000103_post_disaster.jpg,d2d9f752-d894-448d-a355-b172d8554151,371,34,380,50,144,0.8687,0.0189,0.0225,0.0899
mexico-earthquake_00000103_post_disaster.jpg,91b3ad2b-02ca-4100-a827-00639a20e98a,247,42,269,56,308,0.8597,0.0444,0.083,0.0128
mexico-earthquake_00000103_post_disaster.jpg,0d1e3826-f7ff-4ccb-9acb-0262d877dcbd,124,904,141,923,323,0.8486,0.0251,0.0289,0.0974
palu-tsunami_00000097_post_disaster.jpg,ef0d2b14-96f3-4a1c-98cd-961002aa6bbb,0,676,11,720,484,0.9406,0.0125,0.0234,0.0235
palu-tsunami_00000097_post_disaster.jpg,60ca4659-e7ff-455c-85b5-94c90c19e6e2,228,952,262,969,578,0.9625,0.0094,0.0149,0.0133
palu-tsunami_00000097_post_disaster.jpg,a2f8fd12-287f-43a0-97b7-c1fc4f542d7b,229,968,262,981,429,0.9302,0.0041,0.0178,0.0479
palu-tsunami_00000097_post_disaster.jpg,45896568-1f05-43ae-b7fb-d626d69e49b9,228,981,250,993,264,0.7845,0.0301,0.0666,0.1188
palu-tsunami_00000097_post_disaster.jpg,29aba11c-9865-42b8-90fa-22fa858e940c,210,932,248,957,950,0.9876,0.0026,0.0087,0.0012
palu-tsunami_00000097_post_disaster.jpg,3120fc1e-62c0-4d03-bf69-d4888364a37e,201,936,214,957,273,0.7939,0.0424,0.0353,0.1285
palu-tsunami_00000097_post_disaster.jpg,f92e3496-8ab0-4655-bc43-6c5d16ab9ac0,204,958,221,987,493,0.3814,0.1027,0.1239,0.392
palu-tsunami_00000097_post_disaster.jpg,76b3a82a-208a-48ae-8861-5f4fba1616a4,202,1003,218,1023,320,0.4004,0.1127,0.3302,0.1567
palu-tsunami_00000097_post_disaster.jpg,176874f1-a5fd-4533-a88e-55fe0c4c3f12,163,1008,206,1023,645,0.7036,0.0367,0.0544,0.2053
palu-tsunami_00000097_post_disaster.jpg,c79cbc18-0385-470f-b4dc-a20adb5792c5,161,992,206,1013,945,0.9233,0.0134,0.023,0.0404
palu-tsunami_00000097_post_disaster.jpg,ea26d0ba-3f3f-4f32-98ea-b7a2cc0251f1,157,976,197,994,720,0.9277,0.0011,0.007,0.0641
palu-tsunami_00000097_post_disaster.jpg,0c92dc1b-fb61-4906-9179-34ccab3d9601,136,978,165,1023,1305,0.9664,0.0023,0.014,0.0174
palu-tsunami_00000097_post_disaster.jpg,c578ae5b-0617-409c-a487-036539323f76,158,954,205,977,1081,0.8601,0.0127,0.0602,0.067
palu-tsunami_00000097_post_disaster.jpg,74bec410-0ac2-44b8-b087-21ffde755d81,180,902,231,939,1887,0.9471,0.0135,0.0246,0.0148
palu-tsunami_00000097_post_disaster.jpg,7befa886-aef4-4490-a450-8c3e77ee1859,156,920,183,954,918,0.9425,0.0217,0.0174,0.0184
palu-tsunami_00000097_post_disaster.jpg,e8d45388-1d12-4911-bf97-a783455a6b5c,155,867,192,914,1739,0.9622,0.0189,0.014,0.005
palu-tsunami_00000097_post_disaster.jpg,5f859fd4-3808-4403-9321-d376f83006bf,103,949,154,995,2346,0.9399,0.0146,0.024,0.0216
palu-tsunami_00000097_post_disaster.jpg,298e58dd-33c4-4fc2-ae38-801ba21fe299,115,918,151,945,972,0.9868,0.0052,0.0032,0.0048
palu-tsunami_00000097_post_disaster.jpg,0a24d158-32a5-4650-a16a-7ad9ff5767f6,99,921,119,956,700,0.9696,0.0047,0.0192,0.0065
palu-tsunami_00000097_post_disaster.jpg,158b5f25-670e-4258-8ec7-fae5eea121f7,97,887,125,924,1036,0.4549,0.028,0.0881,0.429
palu-tsunami_00000097_post_disaster.jpg,38d1916d-1a6e-4d19-85af-ad603886f562,102,992,142,1023,1240,0.9465,0.0055,0.0236,0.0244
palu-tsunami_00000097_post_disaster.jpg,d9a414b5-9962-4bd0-aa56-613bf882a625,78,961,109,999,1178,0.7593,0.0812,0.0879,0.0716
palu-tsunami_00000097_post_disaster.jpg,af254063-525a-40ab-b211-1715d1efdca9,64,924,104,966,1680,0.993,0.0018,0.0045,0.0008
palu-tsunami_00000097_post_disaster.jpg,2f63aa2e-7426-4ff4-ba96-6d36f57ce24c,75,891,99,911,480,0.6487,0.0694,0.147,0.1349
palu-tsunami_00000097_post_disaster.jpg,186b22e4-1b37-4ec4-9f1d-30a1b0b19ce9,28,879,63,946,2345,0.9855,0.0085,0.004,0.002
palu-tsunami_00000097_post_disaster.jpg,182095e4-eec9-492e-8c5a-2ea578397e3f,17,846,46,879,957,0.9676,0.0021,0.0205,0.0097
palu-tsunami_00000097_post_disaster.jpg,729196d9-1379-49c8-9f29-07b1df870ff4,15,831,43,850,532,0.8054,0.0084,0.0395,0.1467
palu-tsunami_00000097_post_disaster.jpg,16542e8d-d284-4f79-81f4-98661caf895e,7,812,37,842,900,0.2098,0.0033,0.1732,0.6138
palu-tsunami_00000097_post_disaster.jpg,8f6f1d0a-0eb6-46c8-be1b-47289d5f9790,0,721,33,823,3366,0.9639,0.0206,0.0117,0.0037
palu-tsunami_00000097_post_disaster.jpg,53d9945d-41f7-49af-8350-e9b713d99a80,4,729,17,744,195,0.8923,0.0042,0.0122,0.0913
palu-tsunami_00000097_post_disaster.jpg,a2c30131-bb78-47b6-b5ae-961588c7ebab,51,994,87,1023,1044,0.7128,0.0897,0.1417,0.0557
palu-tsunami_00000097_post_disaster.jpg,aa9b4258-a20b-43e5-89b7-ad1611c32409,39,1006,64,1023,425,0.8632,0.0116,0.02,0.1052
palu-tsunami_00000097_post_disaster.jpg,9b4bf8fe-94c1-4fc4-9e4e-86c7fdb94d4b,30,964,73,1006,1806,0.977,0.0055,0.0149,0.0026
palu-tsunami_00000097_post_disaster.jpg,4d2caef9-bd70-400c-bd0e-786bbfb00807,34,995,51,1010,255,0.8192,0.004,0.0141,0.1626
palu-tsunami_00000097_post_disaster.jpg,0ce5e145-8b3f-4609-9b6e-e34255fffa51,12,980,44,1023,1376,0.9017,0.0464,0.0326,0.0192
palu-tsunami_00000097_post_disaster.jpg,61f7ad59-5ea0-4dd0-8ab0-439cc515f9d3,8,963,33,991,700,0.9758,0.0043,0.0111,0.0087
palu-tsunami_00000097_post_disaster.jpg,dd7445d3-27d0-4782-8f19-ebd7ecc49587,0,946,28,979,924,0.9064,0.0117,0.0749,0.007
palu-tsunami_00000097_post_disaster.jpg,40e76644-ce0a-4fb8-886a-e7e0007f96e2,7,929,49,968,1638,0.9513,0.0107,0.0331,0.0049
palu-tsunami_00000097_post_disaster.jpg,982c43f2-4181-4c01-bd35-30ebc6b03c86,5,906,36,937,961,0.9678,0.0074,0.0206,0.0042
palu-tsunami_00000097_post_disaster.jpg,814068a9-9cb1-4781-82db-af5adf455ed3,16,905,32,921,256,0.935,0.0011,0.0085,0.0553
palu-tsunami_00000097_post_disaster.jpg,644a92ed-98ef-4b39-a052-7b6ebf49c07c,0,915,17,949,578,0.8469,0.0685,0.0384,0.0462
palu-tsunami_00000097_post_disaster.jpg,40050467-40a8-4c48-8b95-5ce43c3613dd,8,884,27,905,399,0.931,0.0006,0.01,0.0584
palu-tsunami_00000097_post_disaster.jpg,63ef4ce2-ecd9-46fe-a429-1d5990bc43d4,0,889,18,916,486,0.7401,0.0088,0.0426,0.2085
palu-tsunami_00000097_post_disaster.jpg,15ba793e-041d-4d9a-80bc-dc0a0288de0b,0,862,22,892,660,0.8461,0.0071,0.0221,0.1248
palu-tsunami_00000097_post_disaster.jpg,e745526c-3cd6-4479-8468-cf238899cf05,0,837,15,865,420,0.7169,0.0341,0.0366,0.2124
palu-tsunami_00000097_post_disaster.jpg,a84a7575-788a-4ffe-abdd-ef1f9acc95d5,0,817,8,840,184,0.8163,0.0009,0.1139,0.069
palu-tsunami_00000097_post_disaster.jpg,ac2e2c6c-ebde-4047-8ab6-9a446b0c97ab,18,700,34,717,272,0.9643,0.0008,0.0142,0.0208
palu-tsunami_00000097_post_disaster.jpg,8be09d9f-69f0-422a-a71c-0ad1b2b197f3,99,565,140,651,3526,0.9795,0.0066,0.012,0.0019
palu-tsunami_00000097_post_disaster.jpg,284d2e84-c3b6-4ba5-adc6-c10199ed00c5,61,613,120,652,2301,0.9743,0.0047,0.0206,0.0004
palu-tsunami_00000097_post_disaster.jpg,ce61a06f-d447-4a70-a3db-c3b67079e3b4,43,622,71,654,896,0.4134,0.223,0.0461,0.3174
palu-tsunami_00000097_post_disaster.jpg,d8c94153-6a4b-4a93-b424-6d0adf9e562e,8,608,51,664,2408,0.9827,0.0017,0.0135,0.0021
palu-tsunami_00000097_post_disaster.jpg,bb3445b7-0820-492a-a9dc-1516ba622763,0,555,64,615,3840,0.9921,0.0049,0.0025,0.0005
palu-tsunami_00000097_post_disaster.jpg,01a41e04-6562-4b61-a3d7-7ea760427c9f,8,544,32,569,600,0.937,0.0026,0.0127,0.0476
palu-tsunami_00000097_post_disaster.jpg,b352ae3c-ac85-47c7-a3a1-e6ef257a8343,0,578,8,590,96,0.8059,0.064,0.1015,0.0286
palu-tsunami_00000097_post_disaster.jpg,9a00f7c4-3dcb-4ea1-912d-5ef2e635ca5b,8,505,40,528,736,0.9038,0.0276,0.0318,0.0368
palu-tsunami_00000097_post_disaster.jpg,6d5f280e-a980-4024-8e60-95b9a34e4181,1,483,28,511,756,0.9795,0.0006,0.0053,0.0146
palu-tsunami_00000097_post_disaster.jpg,4700891a-f2ab-48b4-ba5c-8cd8f98a7167,0,522,17,548,442,0.9039,0.001,0.0169,0.0782
palu-tsunami_00000097_post_disaster.jpg,03233ccb-aaea-4934-874c-19e5a61f3cf5,124,505,153,522,493,0.8446,0.0085,0.0386,0.1082
palu-tsunami_00000097_post_disaster.jpg,47bd13ad-0c3b-4f53-81a2-326c5196b61b,124,450,145,472,462,0.6269,0.0831,0.1721,0.1179
palu-tsunami_00000097_post_disaster.jpg,d56a4520-a62b-4ed5-93b7-2eeb16ceb430,106,455,133,486,837,0.9681,0.0011,0.0148,0.016
palu-tsunami_00000097_post_disaster.jpg,ad4e727d-af36-4962-8957-122580519b8e,108,434,139,458,744,0.935,0.0074,0.0183,0.0393
palu-tsunami_00000097_post_disaster.jpg,941e0a9c-7024-4c6f-a806-d3a82bbb4b38,79,456,113,493,1258,0.9357,0.0131,0.0365,0.0147
palu-tsunami_00000097_post_disaster.jpg,834391ea-bdc8-41dc-ae6b-4e90958b006f,95,440,112,460,340,0.8253,0.0086,0.0316,0.1345
palu-tsunami_00000097_post_disaster.jpg,20df2b4e-44ae-41eb-afd5-0dba7a956c4a,86,481,143,512,1767,0.997,0.0013,0.0013,0.0003
palu-tsunami_00000097_post_disaster.jpg,7acb01d1-a411-43c4-a4ef-71f79b36f19b,91,508,126,526,630,0.9756,0.0021,0.0099,0.0124
palu-tsunami_00000097_post_disaster.jpg,c1800522-32dd-47b5-99d1-9a3a9acd572d,74,367,126,408,2132,0.9449,0.0102,0.0404,0.0045
palu-tsunami_00000097_post_disaster.jpg,f68aa306-c2aa-497b-9a4d-95ec3354a64d,86,368,115,379,319,0.926,0.0029,0.0326,0.0385
palu-tsunami_00000097_post_disaster.jpg,7daa7cd5-a0f0-44ea-9edf-ca9398f02ecf,92,332,118,369,962,0.4061,0.0085,0.0314,0.554
palu-tsunami_00000097_post_disaster.jpg,4a184643-4776-4e89-a6d7-57fdb1660d0e,45,348,96,389,2091,0.9261,0.0073,0.0328,0.0338
